venue_key,venue_name,city,country,capacity,capacity_values,needs_review,source
BATACLAN,Bataclan,PARIS,FRANCE,1985,1985,False,excel_pink_cell
BATSCHKAPP,Batschkapp,FRANKFURT,GERMANY,1500,1500,False,excel_pink_cell
BELLUNA DOME,Belluna Dome,SAITAMA,JAPAN,31552,31552,False,excel_pink_cell
BITEC LIVE,BITEC Live,BANGKOK,THAILAND,10000,10000,False,excel_pink_cell
BLUESQUARE WOORIWONBANKING HALL,BLUESQUARE WOORIWONBANKING HALL,SEOUL,KOREA,2800,2800,False,excel_pink_cell
BLUMA APPEL THEATRE,BLUMA APPEL THEATRE,TORONTO,CANADA,868,868,False,excel_pink_cell
BRICK AND MORTAR MUSIC HALL,Brick and Mortar Music Hall,"SAN FRANCISCO, CA",USA,250,250,False,excel_pink_cell
BROADWAY THEATRE BROADWAY MACAU,"Broadway Theatre, Broadway Macau",MACAU,CHINA,2500,2500,False,excel_pink_cell
C ART MEDIA,C Art Media,BUENOS AIRES,ARGENTINA,4000,4000,False,excel_pink_cell
CABARET SAUVAGE,Cabaret Sauvage,PARIS,FRANCE,1200,1200,False,excel_pink_cell
